,Score,Localization,Dataset_Name,Type
CCDC50,-0.048360713,Cytosol,Lung_Tumor_PD,Proteome
CCDC51,0.31238413,Mitochondria,Lung_Tumor_PD,Proteome
CCDC6,-0.21296293,Cytosol,Lung_Tumor_PD,Proteome
CCDC61,0.10819824,Secretory,Lung_Tumor_PD,Proteome
CCDC85C,-0.50541824,Cytosol,Lung_Tumor_PD,Proteome
CCDC86,0.38915306,Nucleus,Lung_Tumor_PD,Proteome
CCDC90B,0.34522313,Mitochondria,Lung_Tumor_PD,Proteome
CCDC91,-0.04476341,Cytosol,Lung_Tumor_PD,Proteome
CCDC92,-0.059793293,Cytosol,Lung_Tumor_PD,Proteome
CCDC93,-0.07229463,Cytosol,Lung_Tumor_PD,Proteome
CCDC97,-0.64568806,Cytosol,Lung_Tumor_PD,Proteome
CCNB1,-0.6093096,Cytosol,Lung_Tumor_PD,Proteome
CCNH,0.3784565,Nucleus,Lung_Tumor_PD,Proteome
CCNT1,0.4918995,Nucleus,Lung_Tumor_PD,Proteome
CCNT2,0.41003594,Nucleus,Lung_Tumor_PD,Proteome
CCNYL1,0.08733675,Secretory,Lung_Tumor_PD,Proteome
CCPG1,0.21915096,Secretory,Lung_Tumor_PD,Proteome
CCS,-0.11931577,Cytosol,Lung_Tumor_PD,Proteome
CCT2,-0.50459117,Cytosol,Lung_Tumor_PD,Proteome
CCT3,-0.4762926,Cytosol,Lung_Tumor_PD,Proteome
CCT4,-0.48655695,Cytosol,Lung_Tumor_PD,Proteome
CCT5,-0.47228548,Cytosol,Lung_Tumor_PD,Proteome
CCT6A,-0.48581988,Cytosol,Lung_Tumor_PD,Proteome
CCT7,-0.47376925,Cytosol,Lung_Tumor_PD,Proteome
CCT8,-0.4684835,Cytosol,Lung_Tumor_PD,Proteome
CD109,0.0017275972,Secretory,Lung_Tumor_PD,Proteome
CD151,0.13970083,Secretory,Lung_Tumor_PD,Proteome
CD276,0.05320979,Secretory,Lung_Tumor_PD,Proteome
CD2AP,-0.1578596,Cytosol,Lung_Tumor_PD,Proteome
CD44,0.09238519,Secretory,Lung_Tumor_PD,Proteome
CD46,-0.20773816,Secretory,Lung_Tumor_PD,Proteome
CD47,0.16801727,Secretory,Lung_Tumor_PD,Proteome
CD55,0.07995412,Secretory,Lung_Tumor_PD,Proteome
CD58,0.01675832,Secretory,Lung_Tumor_PD,Proteome
CD63,0.14539678,Secretory,Lung_Tumor_PD,Proteome
CD81,0.095461756,Secretory,Lung_Tumor_PD,Proteome
CD99,0.026591832,Secretory,Lung_Tumor_PD,Proteome
CDAN1,-0.55113274,Cytosol,Lung_Tumor_PD,Proteome
CDC123,-0.510056,Cytosol,Lung_Tumor_PD,Proteome
CDC34,-0.16519907,Cytosol,Lung_Tumor_PD,Proteome
CDC37,-0.21154349,Cytosol,Lung_Tumor_PD,Proteome
CDC40,0.5360411,Nucleus,Lung_Tumor_PD,Proteome
CDC42,-0.20984341,Cytosol,Lung_Tumor_PD,Proteome
CDC42EP4,-0.19473988,Cytosol,Lung_Tumor_PD,Proteome
CDC5L,0.5243669,Nucleus,Lung_Tumor_PD,Proteome
CDC73,0.46827415,Nucleus,Lung_Tumor_PD,Proteome
CDCA5,0.49117672,Nucleus,Lung_Tumor_PD,Proteome
CDCA7L,0.5364605,Nucleus,Lung_Tumor_PD,Proteome
CDK1,-0.61377096,Cytosol,Lung_Tumor_PD,Proteome
CDK13,0.373754,Nucleus,Lung_Tumor_PD,Proteome
CDK17,0.07810047,Secretory,Lung_Tumor_PD,Proteome
CDK5,-0.6350446,Cytosol,Lung_Tumor_PD,Proteome
CDK5RAP3,0.16642131,Secretory,Lung_Tumor_PD,Proteome
CDK6,-0.095557705,Cytosol,Lung_Tumor_PD,Proteome
CDK9,0.4688367,Nucleus,Lung_Tumor_PD,Proteome
CDKAL1,-0.70074874,Secretory,Lung_Tumor_PD,Proteome
CDKN2AIPNL,0.5044531,Nucleus,Lung_Tumor_PD,Proteome
CDR2L,-0.088365875,Cytosol,Lung_Tumor_PD,Proteome
CDS2,0.21850426,Secretory,Lung_Tumor_PD,Proteome
CDV3,-0.22322038,Cytosol,Lung_Tumor_PD,Proteome
CEBPB,-0.5348316,Nucleus,Lung_Tumor_PD,Proteome
CEBPZ,0.32290733,Nucleus,Lung_Tumor_PD,Proteome
CELF1,0.52303994,Nucleus,Lung_Tumor_PD,Proteome
CENPB,0.515686,Nucleus,Lung_Tumor_PD,Proteome
