,Score,Localization,Dataset_Name,Type
CBR1,-0.09915113,Cytosol,Glioma_Tumor_PD,Proteome
CBR3,-0.06342168,Cytosol,Glioma_Tumor_PD,Proteome
CBS,-0.14110269,Cytosol,Glioma_Tumor_PD,Proteome
CBX3,0.6792331,Nucleus,Glioma_Tumor_PD,Proteome
CBX5,0.6493386,Nucleus,Glioma_Tumor_PD,Proteome
CBX8,0.646501,Nucleus,Glioma_Tumor_PD,Proteome
CC2D1B,-0.085457996,Cytosol,Glioma_Tumor_PD,Proteome
CCAR1,0.6600795,Nucleus,Glioma_Tumor_PD,Proteome
CCAR2,0.6551926,Nucleus,Glioma_Tumor_PD,Proteome
CCDC115,-0.16163085,Secretory,Glioma_Tumor_PD,Proteome
CCDC117,0.5699084,Nucleus,Glioma_Tumor_PD,Proteome
CCDC127,0.5621873,Mitochondria,Glioma_Tumor_PD,Proteome
CCDC134,-0.31675145,Secretory,Glioma_Tumor_PD,Proteome
CCDC22,-0.07033225,Cytosol,Glioma_Tumor_PD,Proteome
CCDC25,-0.058834884,Cytosol,Glioma_Tumor_PD,Proteome
CCDC43,-0.1676258,Cytosol,Glioma_Tumor_PD,Proteome
CCDC47,0.0011747568,Secretory,Glioma_Tumor_PD,Proteome
CCDC50,-0.36867732,Cytosol,Glioma_Tumor_PD,Proteome
CCDC51,0.5616029,Mitochondria,Glioma_Tumor_PD,Proteome
CCDC6,-0.3993706,Cytosol,Glioma_Tumor_PD,Proteome
CCDC85C,0.08713699,Cytosol,Glioma_Tumor_PD,Proteome
CCDC86,0.43999666,Nucleus,Glioma_Tumor_PD,Proteome
CCDC90B,0.5049073,Mitochondria,Glioma_Tumor_PD,Proteome
CCDC91,-0.07463405,Cytosol,Glioma_Tumor_PD,Proteome
CCDC92,-0.47236025,Cytosol,Glioma_Tumor_PD,Proteome
CCDC93,-0.07332663,Cytosol,Glioma_Tumor_PD,Proteome
CCDC97,-0.6715617,Cytosol,Glioma_Tumor_PD,Proteome
CCNH,0.6752307,Nucleus,Glioma_Tumor_PD,Proteome
CCNT1,0.66774535,Nucleus,Glioma_Tumor_PD,Proteome
CCNT2,0.6414065,Nucleus,Glioma_Tumor_PD,Proteome
CCPG1,0.07259694,Secretory,Glioma_Tumor_PD,Proteome
CCS,-0.19276361,Cytosol,Glioma_Tumor_PD,Proteome
CCT2,0.1064181,Cytosol,Glioma_Tumor_PD,Proteome
CCT3,0.1313969,Cytosol,Glioma_Tumor_PD,Proteome
CCT4,0.13143194,Cytosol,Glioma_Tumor_PD,Proteome
CCT5,0.13153037,Cytosol,Glioma_Tumor_PD,Proteome
CCT6A,0.13209155,Cytosol,Glioma_Tumor_PD,Proteome
CCT7,0.13142654,Cytosol,Glioma_Tumor_PD,Proteome
CCT8,0.13159335,Cytosol,Glioma_Tumor_PD,Proteome
CD109,0.072434194,Secretory,Glioma_Tumor_PD,Proteome
CD151,0.033488367,Secretory,Glioma_Tumor_PD,Proteome
CD276,0.06004269,Secretory,Glioma_Tumor_PD,Proteome
CD2AP,-0.08158029,Cytosol,Glioma_Tumor_PD,Proteome
CD44,0.04943554,Secretory,Glioma_Tumor_PD,Proteome
CD46,0.08510961,Secretory,Glioma_Tumor_PD,Proteome
CD47,-0.5149047,Secretory,Glioma_Tumor_PD,Proteome
CD55,-0.447818,Secretory,Glioma_Tumor_PD,Proteome
CD58,0.059889354,Secretory,Glioma_Tumor_PD,Proteome
CD63,0.07567103,Secretory,Glioma_Tumor_PD,Proteome
CD81,-0.3749905,Secretory,Glioma_Tumor_PD,Proteome
CD99,0.01514574,Secretory,Glioma_Tumor_PD,Proteome
CDAN1,0.013424121,Cytosol,Glioma_Tumor_PD,Proteome
CDC123,-0.33326632,Cytosol,Glioma_Tumor_PD,Proteome
CDC34,-0.6151098,Cytosol,Glioma_Tumor_PD,Proteome
CDC37,0.042037766,Cytosol,Glioma_Tumor_PD,Proteome
CDC40,0.6583763,Nucleus,Glioma_Tumor_PD,Proteome
CDC42,-0.17763841,Cytosol,Glioma_Tumor_PD,Proteome
CDC42EP4,-0.13409941,Cytosol,Glioma_Tumor_PD,Proteome
CDC5L,0.64363694,Nucleus,Glioma_Tumor_PD,Proteome
CDC73,0.678235,Nucleus,Glioma_Tumor_PD,Proteome
CDCA7L,0.67190087,Nucleus,Glioma_Tumor_PD,Proteome
CDK1,-0.5920528,Cytosol,Glioma_Tumor_PD,Proteome
CDK13,0.6706665,Nucleus,Glioma_Tumor_PD,Proteome
CDK17,-0.4791174,Secretory,Glioma_Tumor_PD,Proteome
CDK5,-0.40976223,Cytosol,Glioma_Tumor_PD,Proteome
CDK5RAP3,0.060379848,Secretory,Glioma_Tumor_PD,Proteome
CDK6,-0.0042391303,Cytosol,Glioma_Tumor_PD,Proteome
CDK9,0.6701536,Nucleus,Glioma_Tumor_PD,Proteome
CDKAL1,-0.7057812,Secretory,Glioma_Tumor_PD,Proteome
CDKN2AIPNL,0.6794177,Nucleus,Glioma_Tumor_PD,Proteome
CDR2L,-0.15848036,Cytosol,Glioma_Tumor_PD,Proteome
CDS2,-0.3043317,Secretory,Glioma_Tumor_PD,Proteome
CDV3,-0.054617003,Cytosol,Glioma_Tumor_PD,Proteome
CEBPB,-0.32866523,Nucleus,Glioma_Tumor_PD,Proteome
CEBPZ,0.5475524,Nucleus,Glioma_Tumor_PD,Proteome
CELF1,0.62639135,Nucleus,Glioma_Tumor_PD,Proteome
CENPB,0.66731524,Nucleus,Glioma_Tumor_PD,Proteome
CENPC,0.52010936,Nucleus,Glioma_Tumor_PD,Proteome
CEP112,-0.058363535,Cytosol,Glioma_Tumor_PD,Proteome
CEP192,-0.6708646,Cytosol,Glioma_Tumor_PD,Proteome
CEP44,-0.58827585,Cytosol,Glioma_Tumor_PD,Proteome
CEP78,-0.3218279,Cytosol,Glioma_Tumor_PD,Proteome
CERK,-0.36452723,Secretory,Glioma_Tumor_PD,Proteome
CERS2,0.07828682,Secretory,Glioma_Tumor_PD,Proteome
