,Score,Localization,Dataset_Name,Type
BEND3,0.29911062,Nucleus,Lung_NAT_PD,Proteome
BET1,-0.1968639,Secretory,Lung_NAT_PD,Proteome
BET1L,-0.5258682,Secretory,Lung_NAT_PD,Proteome
BID,0.009079036,Cytosol,Lung_NAT_PD,Proteome
BIN1,-0.16998136,Cytosol,Lung_NAT_PD,Proteome
BIN3,0.17239578,Cytosol,Lung_NAT_PD,Proteome
BIRC2,-0.27740952,Cytosol,Lung_NAT_PD,Proteome
BIRC6,-0.30502847,Cytosol,Lung_NAT_PD,Proteome
BLM,0.35762912,Nucleus,Lung_NAT_PD,Proteome
BLVRB,0.049876776,Cytosol,Lung_NAT_PD,Proteome
BLZF1,-0.57503724,Secretory,Lung_NAT_PD,Proteome
BMP2K,-0.37898052,Secretory,Lung_NAT_PD,Proteome
BMPR2,-0.03962092,Secretory,Lung_NAT_PD,Proteome
BMS1,0.48368108,Nucleus,Lung_NAT_PD,Proteome
BNIP1,-0.44395685,Secretory,Lung_NAT_PD,Proteome
BNIP3,0.06559531,Mitochondria,Lung_NAT_PD,Proteome
BPNT1,0.018423025,Cytosol,Lung_NAT_PD,Proteome
BRAF,-0.32932347,Cytosol,Lung_NAT_PD,Proteome
BRCC3,0.050360214,Cytosol,Lung_NAT_PD,Proteome
BRD1,0.34994385,Nucleus,Lung_NAT_PD,Proteome
BRD2,0.49353197,Nucleus,Lung_NAT_PD,Proteome
BRD4,0.36000702,Nucleus,Lung_NAT_PD,Proteome
BRIX1,0.46403456,Nucleus,Lung_NAT_PD,Proteome
BROX,0.061599966,Cytosol,Lung_NAT_PD,Proteome
BRPF1,0.21873583,Nucleus,Lung_NAT_PD,Proteome
BRPF3,-0.04435692,Nucleus,Lung_NAT_PD,Proteome
BRWD1,-0.019162701,Nucleus,Lung_NAT_PD,Proteome
BSG,-0.0989732,Secretory,Lung_NAT_PD,Proteome
BTF3,-0.50974315,Cytosol,Lung_NAT_PD,Proteome
BTF3L4,-0.42527038,Cytosol,Lung_NAT_PD,Proteome
BTN2A1,-0.05780689,Secretory,Lung_NAT_PD,Proteome
BUB1B,-0.40307108,Cytosol,Lung_NAT_PD,Proteome
C11orf68,0.21932559,Cytosol,Lung_NAT_PD,Proteome
C12orf57,-0.09463147,Cytosol,Lung_NAT_PD,Proteome
C14orf119,-0.43750846,Cytosol,Lung_NAT_PD,Proteome
C18orf21,0.45171088,Nucleus,Lung_NAT_PD,Proteome
C18orf32,-0.2855134,Secretory,Lung_NAT_PD,Proteome
C1GALT1,-0.08987249,Secretory,Lung_NAT_PD,Proteome
C1QBP,0.4664687,Mitochondria,Lung_NAT_PD,Proteome
C1orf131,0.5044897,Nucleus,Lung_NAT_PD,Proteome
C1orf198,0.13591287,Cytosol,Lung_NAT_PD,Proteome
C1orf50,-0.39767206,Cytosol,Lung_NAT_PD,Proteome
C2CD2,-0.27622798,Secretory,Lung_NAT_PD,Proteome
C2CD2L,-0.35842147,Secretory,Lung_NAT_PD,Proteome
C2orf42,0.24433722,Nucleus,Lung_NAT_PD,Proteome
C2orf49,-0.072483405,Nucleus,Lung_NAT_PD,Proteome
C2orf69,-0.34356412,Cytosol,Lung_NAT_PD,Proteome
C4orf3,-0.19191007,Secretory,Lung_NAT_PD,Proteome
C5orf24,-0.30047417,Nucleus,Lung_NAT_PD,Proteome
C6orf47,-0.059591733,Secretory,Lung_NAT_PD,Proteome
C6orf89,-0.50428665,Secretory,Lung_NAT_PD,Proteome
CABIN1,0.30527678,Nucleus,Lung_NAT_PD,Proteome
CACYBP,-0.33882877,Cytosol,Lung_NAT_PD,Proteome
CAD,-0.23081742,Cytosol,Lung_NAT_PD,Proteome
CADM4,-0.43415526,Secretory,Lung_NAT_PD,Proteome
CALCOCO1,-0.18512258,Cytosol,Lung_NAT_PD,Proteome
CALR,0.22988597,Nucleus,Lung_NAT_PD,Proteome
CALU,0.28907412,Nucleus,Lung_NAT_PD,Proteome
CAMK2D,0.1374942,Cytosol,Lung_NAT_PD,Proteome
CAMK2G,0.20083965,Cytosol,Lung_NAT_PD,Proteome
CAMLG,-0.083046645,Secretory,Lung_NAT_PD,Proteome
CANT1,-0.0376273,Secretory,Lung_NAT_PD,Proteome
CANX,-0.27972,Secretory,Lung_NAT_PD,Proteome
CAPN1,0.22694099,Cytosol,Lung_NAT_PD,Proteome
CAPN2,0.075056605,Cytosol,Lung_NAT_PD,Proteome
CAPN5,-0.27923587,Secretory,Lung_NAT_PD,Proteome
CAPNS1,0.09795865,Cytosol,Lung_NAT_PD,Proteome
CAPS,0.072839275,Cytosol,Lung_NAT_PD,Proteome
CASK,-0.42543292,Mitochondria,Lung_NAT_PD,Proteome
CASP7,-0.07016944,Cytosol,Lung_NAT_PD,Proteome
CAST,0.18542859,Cytosol,Lung_NAT_PD,Proteome
CAV1,-0.07301099,Secretory,Lung_NAT_PD,Proteome
CAV2,-0.082503825,Secretory,Lung_NAT_PD,Proteome
CBFB,-0.43311,Cytosol,Lung_NAT_PD,Proteome
CBL,-0.47913194,Cytosol,Lung_NAT_PD,Proteome
CBR1,-0.23402125,Cytosol,Lung_NAT_PD,Proteome
CBR3,0.2252601,Cytosol,Lung_NAT_PD,Proteome
CBX3,0.49705443,Nucleus,Lung_NAT_PD,Proteome
CBX5,0.4977572,Nucleus,Lung_NAT_PD,Proteome
CBX8,0.4699769,Nucleus,Lung_NAT_PD,Proteome
CC2D1B,0.05789931,Cytosol,Lung_NAT_PD,Proteome
CCAR1,0.38207495,Nucleus,Lung_NAT_PD,Proteome
CCAR2,0.3899636,Nucleus,Lung_NAT_PD,Proteome
