,Score,Localization,Dataset_Name,Type
ATXN3,0.35681608,Cytosol,Krug_Breast_PD,Proteome
ATXN7L3B,-0.085387744,Cytosol,Krug_Breast_PD,Proteome
AUP1,0.46406084,Secretory,Krug_Breast_PD,Proteome
AURKB,0.5028437,Nucleus,Krug_Breast_PD,Proteome
AVL9,0.361123,Cytosol,Krug_Breast_PD,Proteome
B2M,-0.1559015,Secretory,Krug_Breast_PD,Proteome
B3GAT3,0.4502529,Secretory,Krug_Breast_PD,Proteome
B3GNT2,-0.25598416,Secretory,Krug_Breast_PD,Proteome
B4GALT1,-0.28932014,Secretory,Krug_Breast_PD,Proteome
B4GALT3,0.3105337,Secretory,Krug_Breast_PD,Proteome
B4GALT4,0.44244,Secretory,Krug_Breast_PD,Proteome
BAG3,0.17490174,Cytosol,Krug_Breast_PD,Proteome
BAG6,-0.27373257,Cytosol,Krug_Breast_PD,Proteome
BAK1,-0.56310695,Mitochondria,Krug_Breast_PD,Proteome
BARD1,0.4944081,Nucleus,Krug_Breast_PD,Proteome
BAX,0.44557244,Cytosol,Krug_Breast_PD,Proteome
BAZ1A,0.577169,Nucleus,Krug_Breast_PD,Proteome
BAZ1B,0.5407305,Nucleus,Krug_Breast_PD,Proteome
BAZ2A,0.60023373,Nucleus,Krug_Breast_PD,Proteome
BAZ2B,0.19495177,Nucleus,Krug_Breast_PD,Proteome
BBC3,-0.19295985,Mitochondria,Krug_Breast_PD,Proteome
BCAP29,0.45457137,Secretory,Krug_Breast_PD,Proteome
BCAP31,0.46747518,Secretory,Krug_Breast_PD,Proteome
BCAR1,0.25520086,Cytosol,Krug_Breast_PD,Proteome
BCAS3,0.33481517,Cytosol,Krug_Breast_PD,Proteome
BCL10,0.25718853,Cytosol,Krug_Breast_PD,Proteome
BCL2L1,0.12732416,Mitochondria,Krug_Breast_PD,Proteome
BCL2L11,-0.43171763,Secretory,Krug_Breast_PD,Proteome
BCL2L13,-0.5158979,Mitochondria,Krug_Breast_PD,Proteome
BCL9L,-0.5459337,Nucleus,Krug_Breast_PD,Proteome
BCOR,0.50590885,Nucleus,Krug_Breast_PD,Proteome
BCS1L,0.29028758,Mitochondria,Krug_Breast_PD,Proteome
BDH1,0.2575859,Mitochondria,Krug_Breast_PD,Proteome
BDH2,0.25810456,Cytosol,Krug_Breast_PD,Proteome
BEND3,0.45810932,Nucleus,Krug_Breast_PD,Proteome
BET1,0.45049775,Secretory,Krug_Breast_PD,Proteome
BET1L,0.43958354,Secretory,Krug_Breast_PD,Proteome
BID,0.22270203,Cytosol,Krug_Breast_PD,Proteome
BIN1,0.26771945,Cytosol,Krug_Breast_PD,Proteome
BIN3,0.34224528,Cytosol,Krug_Breast_PD,Proteome
BIRC2,0.4073545,Cytosol,Krug_Breast_PD,Proteome
BIRC6,-0.29145783,Cytosol,Krug_Breast_PD,Proteome
BLM,0.50017214,Nucleus,Krug_Breast_PD,Proteome
BLVRB,0.45634863,Cytosol,Krug_Breast_PD,Proteome
BLZF1,-0.4563975,Secretory,Krug_Breast_PD,Proteome
BMP2K,-0.14536808,Secretory,Krug_Breast_PD,Proteome
BMS1,0.5321928,Nucleus,Krug_Breast_PD,Proteome
BNIP1,0.45021322,Secretory,Krug_Breast_PD,Proteome
BPNT1,0.3956681,Cytosol,Krug_Breast_PD,Proteome
BRAF,0.18658236,Cytosol,Krug_Breast_PD,Proteome
BRCC3,0.37061673,Cytosol,Krug_Breast_PD,Proteome
BRD1,0.6027922,Nucleus,Krug_Breast_PD,Proteome
BRD2,0.60110635,Nucleus,Krug_Breast_PD,Proteome
BRD4,0.62543833,Nucleus,Krug_Breast_PD,Proteome
BRIX1,0.49715105,Nucleus,Krug_Breast_PD,Proteome
BROX,0.32853585,Cytosol,Krug_Breast_PD,Proteome
BRPF1,0.49349236,Nucleus,Krug_Breast_PD,Proteome
BRPF3,0.5401732,Nucleus,Krug_Breast_PD,Proteome
BRWD1,0.27356163,Nucleus,Krug_Breast_PD,Proteome
BSG,-0.13788189,Secretory,Krug_Breast_PD,Proteome
BTBD9,-0.42654884,Secretory,Krug_Breast_PD,Proteome
BTF3,0.16694814,Cytosol,Krug_Breast_PD,Proteome
BTF3L4,-0.467265,Cytosol,Krug_Breast_PD,Proteome
BUB1,-0.44519973,Cytosol,Krug_Breast_PD,Proteome
BUB1B,-0.4706706,Cytosol,Krug_Breast_PD,Proteome
C11orf68,0.367788,Cytosol,Krug_Breast_PD,Proteome
C12orf57,0.46625334,Cytosol,Krug_Breast_PD,Proteome
C14orf119,0.29654235,Cytosol,Krug_Breast_PD,Proteome
C18orf21,0.3782844,Nucleus,Krug_Breast_PD,Proteome
C18orf32,0.42066374,Secretory,Krug_Breast_PD,Proteome
C1QBP,0.27804562,Mitochondria,Krug_Breast_PD,Proteome
C1orf131,0.5220692,Nucleus,Krug_Breast_PD,Proteome
C1orf198,0.111147985,Cytosol,Krug_Breast_PD,Proteome
